country,t,outp,outpd%,outptt%
BRB,2005,158.3117691,0.550287887,0.317764543
BRB,2006,167.8274905,0.536134424,0.322162206
BRB,2007,178.6185839,0.527144367,0.325808285
BRB,2008,179.6944827,0.492430139,0.342012845
BRN,1990,145.5318066,0.534631215,0.298189368
BRN,1991,152.895325,0.552423512,0.296365851
BRN,1992,174.9315988,0.591185489,0.268374517
BRN,1993,178.3407374,0.646891278,0.238088085
BRN,1994,178.9485355,0.643144217,0.239486547
BRN,1995,208.7274381,0.605546608,0.260007075
BRN,1996,225.3483672,0.605068346,0.257710312
BRN,1997,225.7003925,0.618535333,0.245424923
BRN,1998,178.006741,0.641166879,0.227480686
BRN,1999,196.0407254,0.631356661,0.240171302
BRN,2000,241.6255002,0.600624982,0.264580325
BRN,2001,234.0755736,0.595240871,0.265169513
BRN,2002,243.0265711,0.587244386,0.269823545
BRN,2003,271.9538652,0.575502593,0.27217087
BRN,2004,325.2698713,0.551997943,0.281551451
BRN,2005,382.9357295,0.531251878,0.292848937
BRN,2006,453.9970741,0.501318759,0.302791166
BRN,2007,497.5608694,0.518565673,0.282975636
BRN,2008,576.4980937,0.448968937,0.317008139
BTN,1990,14.91612942,0.682538938,0.225578294
BTN,1991,12.27557511,0.63322448,0.255822351
BTN,1992,12.45410528,0.539293546,0.305064172
